name,type,category,fdc_id,calories_kcal,protein_g,fat_g,carbs_g,fiber_g,sugars_g,water_g,vitamin_a_mcg,vitamin_b1_mg,vitamin_b2_mg,vitamin_b3_mg,vitamin_b5_mg,vitamin_b6_mg,vitamin_b9_mcg,vitamin_b12_mcg,vitamin_c_mg,vitamin_d_mcg,vitamin_e_mg,vitamin_k_mcg,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,copper_mg,manganese_mg,selenium_mcg
Nectarine,fruit,Stone,169914,44.0,1.06,0.32,10.55,1.7,7.89,87.59,17.0,0.034,0.027,1.125,0.185,0.025,5.0,0.0,5.4,0.0,0.77,,6.0,0.28,9.0,26.0,201.0,0.0,0.17,0.086,0.054,0.0
Plum,fruit,Stone,169949,46.0,0.7,0.28,11.42,1.4,9.92,87.23,17.0,0.028,0.026,0.417,0.135,0.029,5.0,0.0,9.5,0.0,0.26,,6.0,0.17,7.0,16.0,157.0,0.0,0.1,0.057,0.052,0.0
Cherry (Sweet),fruit,Stone,171719,63.0,1.06,0.2,16.01,2.1,12.82,82.25,3.0,0.027,0.033,0.154,0.199,0.049,4.0,0.0,7.0,0.0,0.07,,13.0,0.36,11.0,21.0,222.0,0.0,0.07,0.06,0.07,0.0
Apricot,fruit,Stone,171697,48.0,1.4,0.39,11.12,2.0,9.24,86.35,96.0,0.03,0.04,0.6,0.24,0.054,9.0,0.0,10.0,0.0,0.89,,13.0,0.39,10.0,23.0,259.0,1.0,0.2,0.078,0.077,0.1
Mango,fruit,Stone,169910,60.0,0.82,0.38,14.98,1.6,13.66,83.46,54.0,0.028,0.038,0.669,0.197,0.119,43.0,0.0,36.4,0.0,0.9,,11.0,0.16,10.0,14.0,168.0,1.0,0.09,0.111,0.063,0.6
Banana,fruit,Tropical,173944,89.0,1.09,0.33,22.84,2.6,12.23,74.91,3.0,0.031,0.073,0.665,0.334,0.367,20.0,0.0,8.7,0.0,0.1,,5.0,0.26,27.0,22.0,358.0,1.0,0.15,0.078,0.27,1.0
Pineapple,fruit,Tropical,169124,50.0,0.54,0.12,13.12,1.4,9.85,86.0,3.0,0.079,0.032,0.5,0.213,0.112,18.0,0.0,47.8,0.0,0.02,,13.0,0.29,12.0,8.0,109.0,1.0,0.12,0.11,0.927,0.1
Kiwi (Green),fruit,Tropical,168153,61.0,1.14,0.52,14.66,3.0,8.99,83.07,4.0,0.027,0.025,0.341,0.183,0.063,25.0,0.0,92.7,0.0,1.46,,34.0,0.31,17.0,34.0,312.0,3.0,0.14,0.13,0.098,0.2
Coconut,fruit,Tropical,170169,354.0,3.33,33.49,15.23,9.0,6.23,46.99,0.0,0.066,0.02,0.54,0.3,0.054,26.0,0.0,3.3,0.0,0.24,,14.0,2.43,32.0,113.0,356.0,20.0,1.1,0.435,1.5,10.1
Plantain,fruit,Tropical,168215,152.0,1.25,0.07,36.66,2.2,2.29,61.1,,0.1,0.1,0.55,0.53,0.07,28.0,,20.2,,,,2.0,0.75,41.0,31.0,431.0,2.0,0.18,0.116,0.109,
Pawpaw,fruit,Tropical,2727577,,1.151875,,,3.3,,76.25,,,,,,,116.1,,27.6,,,,9.91,0.07471,10.61,23.4,220.9,0.3514,0.08486,0.1051,0.04947,
